,0,1_x,2_x,1_y,2_y
56,95.0,-6.5409,-7.9866,7.6416,-8.2592
57,87.0,-4.0147,11.4525,5.0276,9.6162
58,27.0,-5.1624,8.6549,3.4311,7.398
59,52.0,-5.0046,-7.8573,6.6642,-10.6713
60,72.0,-8.56,1.7976,-7.1325,-1.9674
61,84.0,-5.216,-7.9913,9.359,-7.8164
62,10.0,-5.8282,-9.0878,6.8433,-8.4201
63,16.0,-2.3015,8.727,5.2717,9.5278
64,97.0,-9.6662,0.9506,-8.3869,-2.6574
65,40.0,-5.3645,8.0872,5.4206,9.6482
66,22.0,-4.6078,9.191,4.126,7.317
67,26.0,-9.7312,1.0649,-8.4407,-1.1115
68,67.0,-6.3248,-7.9119,7.4714,-7.1638
69,12.0,-4.7958,-7.2116,7.7597,-9.3911
70,33.0,-3.5948,10.2213,5.5866,10.006
71,13.0,-5.5452,-8.1187,7.6208,-6.299
72,42.0,-7.9296,2.4412,-8.9876,-4.1609
73,78.0,-7.1028,-6.9573,6.1918,-9.4078
74,44.0,-6.8572,-6.2699,8.7914,-8.903
75,68.0,-6.5175,-5.8562,7.4371,-7.5458
76,15.0,-9.8349,2.0064,-9.3495,-2.5746
77,66.0,-8.2899,2.6944,-9.2217,-2.9465
78,34.0,-9.1886,1.8473,-6.529,-4.4377
79,8.0,-4.4465,-8.3548,7.9425,-8.0293
80,99.0,-4.1698,10.0466,4.7219,12.305
81,94.0,-7.9322,-6.7934,8.2099,-7.5596
82,31.0,-4.9652,8.5723,4.8761,9.7298
83,91.0,-6.0076,-6.7454,8.5841,-9.7696
84,83.0,-4.6956,8.9423,5.3885,8.547
85,0.0,-4.9223,-7.8024,8.261,-6.8435
86,71.0,-6.0826,-6.8641,8.6312,-9.1768
87,41.0,-8.5916,0.8211,-8.0818,-2.9369
88,54.0,-5.1231,-7.3902,8.3228,-8.2079
89,50.0,-4.5288,-6.4948,6.5928,-7.8068
90,38.0,-7.3848,-0.0794,-7.036,-3.0862
91,73.0,-9.729,1.6778,-7.1278,-3.0498
92,32.0,-4.9726,10.4308,6.8067,9.1145
93,43.0,-6.3801,-9.0156,7.1748,-9.0412
94,30.0,-6.9992,1.5587,-8.2811,-2.2334
95,14.0,-4.8509,8.4615,4.4712,11.2719
96,20.0,-4.9018,9.7526,6.0428,7.6077
97,88.0,-5.8336,11.5752,5.6366,9.9946
98,11.0,-10.3773,-0.8476,-5.1332,-1.5591
99,70.0,-9.1811,1.6406,-9.4409,-1.3887
